filename,pdf_size_kb,status,md_size_kb,converted_at
ncg_178_2005_refundido.pdf,25.6,converted,5.2,2026-06-28T04:24:17
ncg_180_2005_refundido.pdf,29.0,converted,10.4,2026-06-28T04:24:17
ncg_181_2005_refundido.pdf,14.4,converted,2.3,2026-06-28T04:24:18
ncg_182_2005_refundido.pdf,121.2,converted,26.2,2026-06-28T04:24:18
ncg_186_2005_refundido.pdf,29.4,converted,10.2,2026-06-28T04:24:18
ncg_187_2005_refundido.pdf,23.9,converted,6.7,2026-06-28T04:24:18
ncg_191_2005_refundido.pdf,19.7,converted,5.4,2026-06-28T04:24:18
ncg_193_2006_refundido.pdf,117.3,converted,52.8,2026-06-28T04:24:19
ncg_197_2006_refundido.pdf,15.4,converted,1.8,2026-06-28T04:24:19
ncg_200_2006_refundido.pdf,183.9,converted,72.8,2026-06-28T04:24:21
ncg_201_2006_refundido.pdf,146.7,converted,19.4,2026-06-28T04:24:21
ncg_203_2006_refundido.pdf,59.1,converted,17.3,2026-06-28T04:24:21
ncg_204_2006_refundido.pdf,64.3,converted,34.4,2026-06-28T04:24:22
ncg_206_2007_refundido.pdf,26.5,converted,7.4,2026-06-28T04:24:22
ncg_207_2007_refundido.pdf,180.6,converted,41.4,2026-06-28T04:24:23
ncg_208_2007_refundido.pdf,236.3,converted,55.6,2026-06-28T04:24:24
ncg_209_2007_refundido.pdf,351.6,converted,44.8,2026-06-28T04:18:52
ncg_214_2008_refundido.pdf,260.6,converted,118.1,2026-06-28T04:24:26
ncg_215_2008_refundido.pdf,12.3,converted,2.5,2026-06-28T04:24:26
ncg_216_2008_refundido.pdf,35.5,converted,10.8,2026-06-28T04:24:26
ncg_217_2008_refundido.pdf,98.9,converted,48.7,2026-06-28T04:24:27
ncg_218_2008_refundido.pdf,2140.5,converted,378.8,2026-06-28T04:24:36
ncg_219_2008_refundido.pdf,24.4,converted,5.0,2026-06-28T04:24:36
ncg_220_2008_refundido.pdf,25.3,converted,8.6,2026-06-28T04:24:36
ncg_221_2008_refundido.pdf,1132.9,converted,138.5,2026-06-28T04:24:40
ncg_223_2008_refundido.pdf,24.2,converted,6.7,2026-06-28T04:24:40
